housing_median_age,total_rooms,population,median_income,median_house_value,distance_to_nearest_city,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,bedrooms_to_rooms_ratio,households_to_population_ratio
41.0,880.0,322.0,8.3252,452600.0,20.33,0,0,0,1,0.14659090909090908,0.391304347826087
21.0,7099.0,2401.0,8.3014,358500.0,19.91,0,0,0,1,0.15579659106916466,0.4739691795085381
52.0,1467.0,496.0,7.2574,352100.0,17.84,0,0,0,1,0.12951601908657123,0.35685483870967744
52.0,1274.0,558.0,5.6431,341300.0,17.06,0,0,0,1,0.18445839874411302,0.3924731182795699
52.0,1627.0,565.0,3.8462,342200.0,17.06,0,0,0,1,0.1720958819913952,0.4584070796460177
52.0,919.0,413.0,4.0368,269700.0,17.06,0,0,0,1,0.23177366702937977,0.46731234866828086
52.0,2535.0,1094.0,3.6591,299200.0,16.55,0,0,0,1,0.19289940828402366,0.46983546617915906
52.0,3104.0,1157.0,3.12,241400.0,16.55,0,0,0,1,0.22132731958762886,0.5592048401037165
42.0,2555.0,1206.0,2.0804,226700.0,15.76,0,0,0,1,0.2602739726027397,0.49336650082918737
52.0,3549.0,1551.0,3.6912,261100.0,16.55,0,0,0,1,0.1992110453648915,0.46034816247582205
52.0,2202.0,910.0,3.2031,281500.0,16.3,0,0,0,1,0.19709355131698456,0.44175824175824174
52.0,3503.0,1504.0,3.2705,241800.0,16.3,0,0,0,1,0.2146731373108764,0.488031914893617
52.0,2491.0,1098.0,3.075,213500.0,16.3,0,0,0,1,0.1902850260939382,0.4262295081967213
52.0,696.0,345.0,2.6736,191300.0,15.76,0,0,0,1,0.2744252873563218,0.5043478260869565
52.0,2643.0,1212.0,1.9167,159200.0,16.3,0,0,0,1,0.23685206205069997,0.5115511551155115
50.0,1120.0,697.0,2.125,140000.0,16.3,0,0,0,1,0.2526785714285714,0.3787661406025825
52.0,1966.0,793.0,2.775,152500.0,15.56,0,0,0,1,0.17650050864699898,0.41740226986128626
52.0,1228.0,648.0,2.1202,155500.0,15.56,0,0,0,1,0.23859934853420195,0.4675925925925926
50.0,2239.0,990.0,1.9911,158700.0,15.76,0,0,0,1,0.20321572130415363,0.42323232323232324
52.0,1503.0,690.0,2.6033,162900.0,14.99,0,0,0,1,0.19827012641383898,0.39855072463768115
40.0,751.0,409.0,1.3578,147500.0,15.56,0,0,0,1,0.24500665778961384,0.4058679706601467
42.0,1639.0,929.0,1.7135,159800.0,15.56,0,0,0,1,0.2239170225747407,0.3939720129171152
52.0,2436.0,1015.0,1.725,113900.0,14.99,0,0,0,1,0.22208538587848933,0.470935960591133
52.0,1688.0,853.0,2.1806,99700.0,14.99,0,0,0,1,0.19964454976303317,0.3810082063305979
52.0,2224.0,1006.0,2.6,132600.0,14.99,0,0,0,1,0.19649280575539568,0.4194831013916501
41.0,535.0,317.0,2.4038,107500.0,14.82,0,0,0,1,0.22990654205607478,0.3753943217665615
49.0,1130.0,607.0,2.4597,93800.0,14.82,0,0,0,1,0.215929203539823,0.39373970345963755
52.0,1898.0,1102.0,1.808,105500.0,14.82,0,0,0,1,0.22181243414120128,0.3602540834845735
50.0,2082.0,1131.0,1.6424,108900.0,14.23,0,0,0,1,0.23631123919308358,0.4182139699381079
52.0,729.0,395.0,1.6875,132000.0,14.23,0,0,0,1,0.2194787379972565,0.3924050632911392
49.0,1916.0,863.0,1.9274,122300.0,14.23,0,0,0,1,0.23329853862212943,0.4380069524913094
52.0,2153.0,1168.0,1.9615,115200.0,14.23,0,0,0,1,0.22340919647004182,0.3775684931506849
48.0,1922.0,1026.0,1.7969,110400.0,14.99,0,0,0,1,0.21279916753381894,0.32651072124756336
49.0,1655.0,754.0,1.375,104900.0,14.49,0,0,0,1,0.22114803625377644,0.4363395225464191
51.0,2665.0,1258.0,2.7303,109700.0,14.49,0,0,0,1,0.2153846153846154,0.4260731319554849
49.0,1215.0,570.0,1.4861,97200.0,14.49,0,0,0,1,0.23209876543209876,0.4631578947368421
48.0,1798.0,987.0,1.0972,104500.0,14.49,0,0,0,1,0.24026696329254726,0.3789260385005066
52.0,1511.0,901.0,1.4103,103900.0,13.69,0,0,0,1,0.25810721376571805,0.44728079911209767
52.0,1470.0,689.0,3.48,191400.0,15.29,0,0,0,1,0.22448979591836735,0.44847605224963716
52.0,2432.0,1377.0,2.5898,176000.0,15.29,0,0,0,1,0.29399671052631576,0.5054466230936819
52.0,1665.0,946.0,2.0978,155400.0,15.29,0,0,0,1,0.25165165165165165,0.4175475687103594
51.0,936.0,517.0,1.2852,150000.0,15.29,0,0,0,1,0.33226495726495725,0.4816247582205029
49.0,713.0,462.0,1.025,118800.0,15.76,0,0,0,1,0.28330995792426367,0.4090909090909091
52.0,950.0,467.0,3.9643,188800.0,15.76,0,0,0,1,0.21263157894736842,0.42398286937901497
52.0,1443.0,660.0,3.0125,184400.0,15.29,0,0,0,1,0.21552321552321552,0.44242424242424244
52.0,1656.0,718.0,2.6768,182300.0,15.29,0,0,0,1,0.2536231884057971,0.532033426183844
50.0,1125.0,616.0,2.026,142500.0,15.29,0,0,0,1,0.2862222222222222,0.4935064935064935
